,model_popularity,purchase_model,actual
13,2.7658003258112785e-06,BREEZE,1.0
24,2.7658003258112785e-06,CARGO VAN,1.0
23,2.7658003258112785e-06,CAPRICE,1.0
42,2.7658003258112785e-06,F550,1.0
41,2.7658003258112785e-06,EX37,0.0
40,2.7658003258112785e-06,ESPRIT,1.0
39,2.7658003258112785e-06,ENCORE,0.0
38,2.7658003258112785e-06,ELECTRA,1.0
37,2.7658003258112785e-06,EL CAMINO,1.0
36,2.7658003258112785e-06,E420,0.0
35,2.7658003258112785e-06,DL,1.0
43,2.7658003258112785e-06,FESTIVA,1.0
33,2.7658003258112785e-06,CORSICA,1.0
34,2.7658003258112785e-06,CUTLASS SUPREME,0.0
26,2.7658003258112785e-06,CATALINA,1.0
27,2.7658003258112785e-06,CJ7,1.0
28,2.7658003258112785e-06,CL500,1.0
25,2.7658003258112785e-06,CARRERA GT,1.0
30,2.7658003258112785e-06,CLUB WAGON,1.0
31,2.7658003258112785e-06,COMANCHE,1.0
32,2.7658003258112785e-06,CONTINENTAL GT,0.0
29,2.7658003258112785e-06,CLK63 AMG Black Series,0.0
123,5.531600651622557e-06,RODEO SPORT,1.0
117,5.531600651622557e-06,METRO,0.5
118,5.531600651622557e-06,MR2,0.0
119,5.531600651622557e-06,MYSTIQUE,0.5
120,5.531600651622557e-06,PREVIA,1.0
121,5.531600651622557e-06,QUATTROPORTE,1.0
116,5.531600651622557e-06,MARK VIII,0.5
122,5.531600651622557e-06,RAM VAN 3500,1.0
124,5.531600651622557e-06,RS5,1.0
129,5.531600651622557e-06,SC1,1.0
126,5.531600651622557e-06,S55 AMG,0.5
127,5.531600651622557e-06,S600,0.5
128,5.531600651622557e-06,SC 400,1.0
130,5.531600651622557e-06,SHADOW,1.0
131,5.531600651622557e-06,SILHOUETTE,1.0
132,5.531600651622557e-06,SPIRIT,0.5
133,5.531600651622557e-06,SVX,1.0
134,5.531600651622557e-06,XJ6,0.0
115,5.531600651622557e-06,LW200,0.0
125,5.531600651622557e-06,RS6,1.0
114,5.531600651622557e-06,LS2,0.5
94,5.531600651622557e-06,9-7X,0.5
112,5.531600651622557e-06,LEBARON,1.0
92,5.531600651622557e-06,320,0.5
93,5.531600651622557e-06,335 HYBRID,0.0
96,5.531600651622557e-06,ALLANTE,0.5
97,5.531600651622557e-06,ASCENDER EXT,0.5
98,5.531600651622557e-06,B2500,1.0
99,5.531600651622557e-06,BRAVADA,0.5
100,5.531600651622557e-06,C55 AMG,1.0
101,5.531600651622557e-06,CIRRUS,0.0
102,5.531600651622557e-06,DEFENDER,0.5
95,5.531600651622557e-06,960,0.5
104,5.531600651622557e-06,ECONOLINE,1.0
103,5.531600651622557e-06,E300,1.0
111,5.531600651622557e-06,L100,0.0
110,5.531600651622557e-06,K2500,0.5
109,5.531600651622557e-06,GRAND VOYAGER,1.0
113,5.531600651622557e-06,LS1,0.5
107,5.531600651622557e-06,F450,1.0
106,5.531600651622557e-06,F100,1.0
105,5.531600651622557e-06,ELDORADO,0.5
108,5.531600651622557e-06,GLK250,0.0
152,8.297400977433835e-06,LW300,0.6666666666666666
153,8.297400977433835e-06,PASSPORT,1.0
154,8.297400977433835e-06,PHAETON,0.3333333333333333
155,8.297400977433835e-06,ROADMASTER,0.3333333333333333
156,8.297400977433835e-06,RX-7,1.0
157,8.297400977433835e-06,S-10 BLAZER,0.3333333333333333
158,8.297400977433835e-06,S8,0.6666666666666666
160,8.297400977433835e-06,SAVANA 3500,0.6666666666666666
161,8.297400977433835e-06,SC 300,1.0
162,8.297400977433835e-06,SKYLARK,0.3333333333333333
164,8.297400977433835e-06,VILLAGER,0.6666666666666666
165,8.297400977433835e-06,VOYAGER,0.3333333333333333
166,8.297400977433835e-06,XJR,0.3333333333333333
159,8.297400977433835e-06,S90,0.6666666666666666
163,8.297400977433835e-06,VERONA,0.6666666666666666
151,8.297400977433835e-06,EUROVAN,0.6666666666666666
149,8.297400977433835e-06,E430,1.0
150,8.297400977433835e-06,ELISE,1.0
135,8.297400977433835e-06,200SX,0.6666666666666666
136,8.297400977433835e-06,3000GT,1.0
137,8.297400977433835e-06,640,0.0
139,8.297400977433835e-06,944,1.0
140,8.297400977433835e-06,ALPINA B7,0.3333333333333333
141,8.297400977433835e-06,AURA HYBRID,0.3333333333333333
138,8.297400977433835e-06,760,0.6666666666666666
143,8.297400977433835e-06,BRONCO,1.0
144,8.297400977433835e-06,CABRIO,0.0
145,8.297400977433835e-06,CJ5,0.3333333333333333
146,8.297400977433835e-06,CL55 AMG,0.6666666666666666
147,8.297400977433835e-06,CONTOUR,1.0
148,8.297400977433835e-06,CUTLASS,0.0
142,8.297400977433835e-06,B4000,0.3333333333333333
177,1.1063201303245114e-05,LUMINA,0.25
183,1.1063201303245114e-05,XTRACAB,1.0
182,1.1063201303245114e-05,TROOPER,0.5
181,1.1063201303245114e-05,SIERRA HYBRID,0.25
180,1.1063201303245114e-05,SIERRA 1500 HD,0.0
179,1.1063201303245114e-05,NEON SRT-4,0.75
178,1.1063201303245114e-05,MIRAGE,0.5
176,1.1063201303245114e-05,LEGEND,0.75
169,1.1063201303245114e-05,C/K 2500,0.75
174,1.1063201303245114e-05,GS 400,0.5
173,1.1063201303245114e-05,ES 300H,1.0
172,1.1063201303245114e-05,EIGHTY-EIGHT DELTA,0.75
171,1.1063201303245114e-05,CL600,1.0
170,1.1063201303245114e-05,CAPRICE CLASSIC,0.25
168,1.1063201303245114e-05,850,0.75
167,1.1063201303245114e-05,1M,0.5
175,1.1063201303245114e-05,ILX HYBRID,0.25
190,1.3829001629056391e-05,INTRIGUE,0.0
194,1.3829001629056391e-05,i-280,0.8
193,1.3829001629056391e-05,TERCEL,0.6
191,1.3829001629056391e-05,JIMMY,0.4
189,1.3829001629056391e-05,H1,1.0
192,1.3829001629056391e-05,SAFARI,0.4
187,1.3829001629056391e-05,BROUGHAM,0.6
184,1.3829001629056391e-05,240SX,1.0
185,1.3829001629056391e-05,750 HYBRID,0.2
188,1.3829001629056391e-05,DIAMANTE,0.6
186,1.3829001629056391e-05,AVALANCHE 2500,0.0
208,1.659480195486767e-05,i-290,0.16666666666666666
207,1.659480195486767e-05,SPRINTER,0.8333333333333334
206,1.659480195486767e-05,SLK250,0.0
205,1.659480195486767e-05,SL600,0.6666666666666666
204,1.659480195486767e-05,SL,0.6666666666666666
203,1.659480195486767e-05,SC2,0.6666666666666666
202,1.659480195486767e-05,S70,1.0
200,1.659480195486767e-05,CONCORDE,0.3333333333333333
199,1.659480195486767e-05,CLK63 AMG,0.5
198,1.659480195486767e-05,CLK55 AMG,0.6666666666666666
197,1.659480195486767e-05,CIVIC DEL SOL,0.6666666666666666
196,1.659480195486767e-05,AURORA,0.3333333333333333
195,1.659480195486767e-05,ALLROAD,0.16666666666666666
201,1.659480195486767e-05,KING CAB,0.6666666666666666
215,1.9360602280678947e-05,MILLENIA,0.7142857142857143
217,1.9360602280678947e-05,XV CROSSTREK,0.42857142857142855
213,1.9360602280678947e-05,DISCOVERY,1.0
216,1.9360602280678947e-05,S350,0.42857142857142855
211,1.9360602280678947e-05,COUGAR,0.42857142857142855
212,1.9360602280678947e-05,CUTLASS CIERA,0.7142857142857143
209,1.9360602280678947e-05,540,0.8571428571428571
214,1.9360602280678947e-05,MILAN HYBRID,0.42857142857142855
210,1.9360602280678947e-05,640 B640,0.2857142857142857
218,2.2126402606490228e-05,CLK430,0.625
219,2.2126402606490228e-05,INTREPID,0.625
220,2.2126402606490228e-05,M35H,0.25
221,2.2126402606490228e-05,S63 AMG,0.5
222,2.2126402606490228e-05,S65 AMG,1.0
223,2.2126402606490228e-05,SAVANA 2500,0.375
236,2.4892202932301505e-05,XK8,0.6666666666666666
235,2.4892202932301505e-05,SPRINTER 2500,0.2222222222222222
234,2.4892202932301505e-05,SL63 AMG,0.2222222222222222
233,2.4892202932301505e-05,SL55 AMG,0.2222222222222222
232,2.4892202932301505e-05,RS4,0.4444444444444444
231,2.4892202932301505e-05,R500,0.2222222222222222
227,2.4892202932301505e-05,CL63 AMG,0.5555555555555556
229,2.4892202932301505e-05,CROSSFIRE SRT-6,0.4444444444444444
228,2.4892202932301505e-05,CLS55 AMG,0.3333333333333333
226,2.4892202932301505e-05,560,0.6666666666666666
224,2.4892202932301505e-05,300ZX,0.6666666666666666
230,2.4892202932301505e-05,LS 600H,0.4444444444444444
225,2.4892202932301505e-05,5-Sep,0.6666666666666666
241,2.7658003258112782e-05,YUKON XL 2500,0.4
240,2.7658003258112782e-05,SLK230,0.5
239,2.7658003258112782e-05,FIREBIRD,0.8
237,2.7658003258112782e-05,323,0.6
238,2.7658003258112782e-05,CONTINENTAL,0.7
249,3.0423803583924063e-05,SL1,0.9090909090909091
248,3.0423803583924063e-05,S6,0.45454545454545453
247,3.0423803583924063e-05,RELAY,0.18181818181818182
246,3.0423803583924063e-05,ML500,0.09090909090909091
250,3.0423803583924063e-05,TERRAZA,0.36363636363636365
244,3.0423803583924063e-05,LEAF,0.2727272727272727
243,3.0423803583924063e-05,CLS63 AMG,0.7272727272727273
242,3.0423803583924063e-05,626,0.6363636363636364
245,3.0423803583924063e-05,MARAUDER,0.5454545454545454
251,3.318960390973534e-05,AERIO,0.16666666666666666
252,3.318960390973534e-05,AZTEK,0.25
253,3.318960390973534e-05,C320,0.4166666666666667
254,3.318960390973534e-05,G20,0.6666666666666666
255,3.318960390973534e-05,LS 400,0.5833333333333334
256,3.318960390973534e-05,NV 1500,0.5833333333333334
257,3.318960390973534e-05,R320,0.6666666666666666
263,3.595540423554662e-05,SILVERADO HYBRID,0.46153846153846156
265,3.595540423554662e-05,Z3,0.7692307692307693
262,3.595540423554662e-05,MONTERO SPORT,0.46153846153846156
264,3.595540423554662e-05,SLK320,0.6923076923076923
260,3.595540423554662e-05,545,0.3076923076923077
259,3.595540423554662e-05,300M,0.6923076923076923
258,3.595540423554662e-05,3-Sep,0.6153846153846154
261,3.595540423554662e-05,E55 AMG,0.5384615384615384
266,3.8721204561357895e-05,ASTRO,0.6428571428571429
267,3.8721204561357895e-05,GS 460,0.42857142857142855
268,3.8721204561357895e-05,MONTERO,0.35714285714285715
269,3.8721204561357895e-05,QX4,0.5
270,3.8721204561357895e-05,S430,0.42857142857142855
271,3.8721204561357895e-05,SEVILLE,0.5
272,3.8721204561357895e-05,SILVERADO 1500 HD,0.21428571428571427
277,4.148700488716918e-05,Q45,0.4666666666666667
276,4.148700488716918e-05,MONTEREY,0.26666666666666666
275,4.148700488716918e-05,MONTANA,0.4
273,4.148700488716918e-05,ALERO,0.4666666666666667
274,4.148700488716918e-05,L200,0.3333333333333333
278,4.4252805212980456e-05,MAGNUM SRT-8,0.3125
279,4.4252805212980456e-05,SIERRA 3500,0.4375
280,4.701860553879173e-05,ENVOY XUV,0.4117647058823529
281,4.701860553879173e-05,H3T,0.35294117647058826
282,4.701860553879173e-05,PRIZM,0.7058823529411765
283,4.701860553879173e-05,SUNFIRE,0.5294117647058824
284,4.701860553879173e-05,TTS,0.23529411764705882
285,4.701860553879173e-05,VENTURE,0.23529411764705882
286,4.701860553879173e-05,WINDSTAR,0.5882352941176471
290,4.978440586460301e-05,S500,0.6666666666666666
289,4.978440586460301e-05,PICKUP,0.6666666666666666
287,4.978440586460301e-05,F150 HERITAGE,0.2777777777777778
288,4.978440586460301e-05,I30,0.7777777777777778
291,5.255020619041429e-05,745,0.5263157894736842
292,5.255020619041429e-05,NV 2500,0.47368421052631576
293,5.255020619041429e-05,PRELUDE,0.6842105263157895
294,5.255020619041429e-05,SAVANA 1500,0.631578947368421
295,5.5316006516225565e-05,B2300,0.45
296,5.5316006516225565e-05,RODEO,0.6
297,5.5316006516225565e-05,X1,0.35
298,5.808180684203685e-05,BAJA,0.23809523809523808
299,5.808180684203685e-05,ML63 AMG,0.47619047619047616
302,6.0847607167848126e-05,TRACKER,0.5454545454545454
300,6.0847607167848126e-05,ASCENDER,0.3181818181818182
301,6.0847607167848126e-05,CALIBER SRT-4,0.13636363636363635
303,6.36134074936594e-05,B3000,0.5217391304347826
304,6.36134074936594e-05,BONNEVILLE,0.43478260869565216
305,6.36134074936594e-05,ESCALADE HYBRID,0.30434782608695654
306,6.36134074936594e-05,GL320,0.30434782608695654
307,6.36134074936594e-05,PROTEGE5,0.5652173913043478
308,6.36134074936594e-05,SL2,0.5652173913043478
309,6.36134074936594e-05,SONOMA,0.391304347826087
314,6.637920781947068e-05,SUBURBAN 2500,0.375
313,6.637920781947068e-05,SIERRA CLASSIC,0.375
312,6.637920781947068e-05,FX50,0.2916666666666667
311,6.637920781947068e-05,EXPLORER SPORT,0.2916666666666667
310,6.637920781947068e-05,AVALON HYBRID,0.375
315,6.914500814528196e-05,ML320,0.48
316,6.914500814528196e-05,R32,0.28
317,6.914500814528196e-05,XG350,0.2
318,7.191080847109323e-05,ESCORT,0.46153846153846156
319,7.191080847109323e-05,M56,0.4230769230769231
320,7.191080847109323e-05,MALIBU HYBRID,0.38461538461538464
321,7.467660879690452e-05,C/K 1500,0.6296296296296297
322,7.467660879690452e-05,ILX,0.25925925925925924
325,7.744240912271579e-05,YUKON HYBRID,0.35714285714285715
323,7.744240912271579e-05,MARINER HYBRID,0.25
324,7.744240912271579e-05,PARK AVENUE,0.42857142857142855
326,8.020820944852707e-05,ECHO,0.5517241379310345
327,8.020820944852707e-05,PRIUS PLUG IN HYBRID,0.4827586206896552
328,8.020820944852707e-05,SLK55 AMG,0.3103448275862069
329,8.020820944852707e-05,XTS,0.5862068965517241
333,8.297400977433836e-05,XKR,0.4
330,8.297400977433836e-05,BRZ,0.5
331,8.297400977433836e-05,G3,0.43333333333333335
332,8.297400977433836e-05,MR2 SPYDER,0.3
337,8.573981010014963e-05,SPECTRA5,0.41935483870967744
336,8.573981010014963e-05,ML550,0.4838709677419355
335,8.573981010014963e-05,CL550,0.41935483870967744
334,8.573981010014963e-05,CL,0.5483870967741935
338,8.850561042596091e-05,645,0.28125
339,8.850561042596091e-05,EQUATOR,0.375
340,8.850561042596091e-05,GL350,0.375
341,8.850561042596091e-05,RAM SRT 10,0.46875
348,9.127141075177218e-05,S400,0.48484848484848486
346,9.127141075177218e-05,MARK LT,0.36363636363636365
345,9.127141075177218e-05,L300,0.36363636363636365
347,9.127141075177218e-05,RENO,0.3333333333333333
343,9.127141075177218e-05,BLAZER,0.5454545454545454
342,9.127141075177218e-05,ACCORD HYBRID,0.36363636363636365
344,9.127141075177218e-05,C240,0.3939393939393939
349,9.403721107758347e-05,SPARK,0.47058823529411764
350,9.680301140339475e-05,A7,0.34285714285714286
351,9.680301140339475e-05,CLS500,0.5428571428571428
352,9.680301140339475e-05,LX 570,0.45714285714285713
353,9.680301140339475e-05,VERSA NOTE,0.22857142857142856
354,9.956881172920602e-05,ATS,0.3055555555555556
355,9.956881172920602e-05,E500,0.4166666666666667
356,0.0001023346120550173,AVIATOR,0.43243243243243246
357,0.0001023346120550173,INTEGRA,0.7297297297297297
360,0.00010510041238082857,PROTEGE,0.631578947368421
359,0.00010510041238082857,GS 450H,0.3157894736842105
358,0.00010510041238082857,GS 430,0.42105263157894735
361,0.00010786621270663986,EQUUS,0.28205128205128205
362,0.00010786621270663986,EXCURSION,0.5128205128205128
363,0.00011063201303245113,CLK500,0.3
364,0.00011063201303245113,MKZ HYBRID,0.375
365,0.00011063201303245113,XLR,0.375
369,0.00011339781335826241,XJ8,0.4634146341463415
368,0.00011339781335826241,V70,0.43902439024390244
366,0.00011339781335826241,740,0.6585365853658537
367,0.00011339781335826241,S-TYPE,0.3902439024390244
370,0.00011892941400988497,CLK320,0.4883720930232558
371,0.00012446101466150752,SILVERADO CLASSIC,0.37777777777777777
372,0.00012446101466150752,V50,0.28888888888888886
373,0.0001272268149873188,CLK550,0.41304347826086957
374,0.0001299926153131301,ALTIMA HYBRID,0.40425531914893614
375,0.0001299926153131301,IQ,0.3404255319148936
376,0.00013275841563894136,SLK300,0.4583333333333333
377,0.00013275841563894136,X-TYPE,0.4791666666666667
378,0.00013552421596475263,FREESTAR,0.3877551020408163
379,0.00013552421596475263,GLI,0.32653061224489793
381,0.00013829001629056393,SILVERADO 3500,0.36
380,0.00013829001629056393,FX45,0.38
382,0.0001410558166163752,GRAND AM,0.39215686274509803
384,0.00014382161694218647,MURANO CROSS CABRIOLET,0.28846153846153844
383,0.00014382161694218647,LX 470,0.2692307692307692
387,0.00014658741726799777,VUE HYBRID,0.2641509433962264
386,0.00014658741726799777,LR3,0.4339622641509434
385,0.00014658741726799777,C-MAX,0.33962264150943394
388,0.0001521190179196203,FX37,0.41818181818181815
389,0.0001521190179196203,ZEPHYR,0.43636363636363634
390,0.00015488481824543158,CELICA,0.5357142857142857
391,0.00015488481824543158,E63 AMG,0.39285714285714285
392,0.00015488481824543158,NAVIGATOR L,0.32142857142857145
393,0.00015765061857124288,I35,0.49122807017543857
394,0.00015765061857124288,M6,0.2982456140350877
395,0.00015765061857124288,MALIBU CLASSIC,0.3508771929824561
396,0.00015765061857124288,MONTEGO,0.3508771929824561
400,0.00016041641889705415,TAHOE HYBRID,0.43103448275862066
399,0.00016041641889705415,SSR,0.29310344827586204
397,0.00016041641889705415,IS F,0.46551724137931033
398,0.00016041641889705415,NEON,0.4482758620689655
401,0.00016594801954867671,C63 AMG,0.36666666666666664
402,0.00017147962020029926,A8,0.5
403,0.00017147962020029926,RAIDER,0.27419354838709675
407,0.00017424542052611053,MPV,0.30158730158730157
404,0.00017424542052611053,B9 TRIBECA,0.3333333333333333
405,0.00017424542052611053,C280,0.31746031746031744
406,0.00017424542052611053,CHEROKEE,0.5555555555555556
408,0.0001797770211777331,LAND CRUISER,0.35384615384615387
410,0.00018254282150354436,S-10,0.45454545454545453
409,0.00018254282150354436,LS,0.45454545454545453
411,0.00018530862182935566,EXPRESS 2500,0.44776119402985076
412,0.00018530862182935566,XK,0.43283582089552236
413,0.00018807442215516693,525,0.4852941176470588
414,0.00018807442215516693,AMANTI,0.47058823529411764
415,0.0001908402224809782,RANGE ROVER EVOQUE,0.3333333333333333
416,0.0001936060228067895,CAVALIER,0.4714285714285714
417,0.0001936060228067895,EXPRESS 1500,0.44285714285714284
418,0.0001936060228067895,TAURUS X,0.44285714285714284
419,0.00019637182313260077,CX-5,0.28169014084507044
420,0.00019913762345841204,M5,0.3888888888888889
422,0.0002019034237842233,SL500,0.3561643835616438
421,0.0002019034237842233,RAINIER,0.2465753424657534
423,0.0002046692241100346,GL550,0.3108108108108108
424,0.00020743502443584588,ENTOURAGE,0.36
425,0.00021573242541327972,EXPRESS 3500,0.34615384615384615
426,0.00021573242541327972,JX35,0.3717948717948718
427,0.000218498225739091,DEVILLE,0.5569620253164557
428,0.000218498225739091,E-150,0.45569620253164556
429,0.000218498225739091,S4,0.35443037974683544
430,0.00022126402606490226,PRIUS V,0.3
432,0.00022402982639071356,FR-S,0.35802469135802467
431,0.00022402982639071356,ENVOY XL,0.4074074074074074
433,0.00022402982639071356,RIO5,0.38271604938271603
435,0.0002295614270423361,XJ,0.3493975903614458
434,0.0002295614270423361,BORREGO,0.3855421686746988
436,0.0002323272273681474,VOLT,0.36904761904761907
437,0.0002323272273681474,ZDX,0.30952380952380953
438,0.00023509302769395867,E320,0.4470588235294118
439,0.00023785882801976994,IS 300,0.4186046511627907
440,0.0002433904286713925,GTO,0.3409090909090909
441,0.00024892202932301504,LR4,0.3888888888888889
442,0.00024892202932301504,STRATUS,0.35555555555555557
443,0.00024892202932301504,XC70,0.24444444444444444
444,0.0002544536299746376,TRAILBLAZER EXT,0.34782608695652173
445,0.0002572194303004489,RENDEZVOUS,0.3548387096774194
447,0.00026275103095207145,TRIBECA,0.3368421052631579
446,0.00026275103095207145,GX 460,0.45263157894736844
448,0.0002655168312778827,SL550,0.3645833333333333
449,0.000268282631603694,300 C SRT,0.36082474226804123
450,0.000268282631603694,TORRENT,0.31958762886597936
451,0.00027104843192950526,M45,0.30612244897959184
452,0.00027658003258112786,SLK280,0.41
453,0.00027658003258112786,TRANSIT CONNECT,0.41
454,0.0002821116332327504,CHARGER SRT-8,0.4019607843137255
455,0.00028487743355856167,THUNDERBIRD,0.30097087378640774
456,0.00028764323388437294,GRAND CHEROKEE SRT-8,0.33653846153846156
457,0.0002904090342101842,SABLE,0.3523809523809524
458,0.0002904090342101842,VERANO,0.3523809523809524
460,0.00029317483453599553,TT,0.44339622641509435
459,0.00029317483453599553,RX 300,0.39622641509433965
461,0.0002959406348618068,PRIUS C,0.2336448598130841
462,0.0002987064351876181,UPLANDER,0.35185185185185186
463,0.00030147223551342935,MONTE CARLO,0.26605504587155965
464,0.00030976963649086316,ASTRA,0.30357142857142855
465,0.0003125354368166745,PANAMERA,0.46017699115044247
466,0.000318067037468297,FORENZA,0.3130434782608696
467,0.00032359863811991956,CARAVAN,0.3418803418803419
468,0.00033189603909735343,C30,0.325
469,0.00033742763974897597,S5,0.39344262295081966
470,0.0003457250407264098,FREESTYLE,0.288
471,0.00034849084105222105,G8,0.38095238095238093
472,0.0003595540423554662,G5,0.2846153846153846
473,0.00036231984268127746,530,0.3969465648854962
474,0.00036231984268127746,XA,0.31297709923664124
475,0.00036508564300708873,R350,0.3712121212121212
476,0.0003844462452877677,XL-7,0.3237410071942446
477,0.00039274364626520154,CENTURY,0.2676056338028169
478,0.00039274364626520154,RSX,0.4084507042253521
479,0.0003955094465910128,SIERRA 2500,0.32867132867132864
480,0.0003982752469168241,SLK350,0.3611111111111111
481,0.0003982752469168241,X6,0.3819444444444444
482,0.00042869905050074817,C70,0.36129032258064514
484,0.00043146485082655944,S2000,0.4358974358974359
483,0.00043146485082655944,FIVE HUNDRED,0.3525641025641026
485,0.0004342306511523707,CLS550,0.3630573248407643
486,0.0004342306511523707,RX 450H,0.31210191082802546
487,0.00044529385245561584,ASPEN,0.2919254658385093
488,0.0004480596527814271,MAGNUM,0.3395061728395062
489,0.0004480596527814271,RONDO,0.29012345679012347
490,0.0004563570537588609,135,0.3575757575757576
491,0.0004563570537588609,RAM 3500,0.4121212121212121
492,0.00047018605538791733,RX 400H,0.32941176470588235
493,0.00047571765603953987,DART,0.3953488372093023
494,0.00047848345636535114,ESCAPE HYBRID,0.2947976878612717
495,0.0004812492566911624,MOUNTAINEER,0.41954022988505746
496,0.00048401505701697374,HIGHLANDER HYBRID,0.29714285714285715
497,0.0004895466576685962,CHALLENGER SRT-8,0.2937853107344633
498,0.0004895466576685962,CROSSFIRE,0.3898305084745763
499,0.0004895466576685962,OUTLOOK,0.3728813559322034
500,0.0004895466576685962,S80,0.4124293785310734
501,0.0004923124579944075,AZERA,0.3595505617977528
502,0.0004923124579944075,H2,0.3202247191011236
503,0.0004950782583202189,OUTLANDER SPORT,0.31843575418994413
504,0.0005006098589718414,SONATA HYBRID,0.27624309392265195
505,0.000506141459623464,GRAND PRIX,0.3333333333333333
506,0.0005089072599492752,TIBURON,0.3967391304347826
507,0.0005116730602750865,650,0.3621621621621622
508,0.0005199704612525204,RABBIT,0.31382978723404253
509,0.0005199704612525204,RL,0.3829787234042553
510,0.0005282678622299541,E550,0.34554973821989526
511,0.0005393310635331993,CT 200H,0.2564102564102564
512,0.0005476284645106332,ES 300,0.45454545454545453
513,0.0005476284645106332,OPTIMA HYBRID,0.3434343434343434
514,0.0005531600651622557,PACIFICA,0.405
515,0.0005531600651622557,XC60,0.34
516,0.0005559258654880669,CANYON,0.29850746268656714
517,0.0005559258654880669,VIBE,0.31840796019900497
518,0.0005586916658138783,RANGE ROVER,0.3910891089108911
519,0.0005669890667913121,VERACRUZ,0.34146341463414637
520,0.0005697548671171233,C230,0.32524271844660196
521,0.0005725206674429347,BOXSTER,0.3671497584541063
522,0.0005891154693978023,CAYMAN,0.3333333333333333
523,0.0005891154693978023,RX-8,0.3568075117370892
524,0.0005918812697236136,SC 430,0.4158878504672897
525,0.0005974128703752361,TRIBUTE,0.32407407407407407
526,0.00060571027135267,KIZASHI,0.2694063926940639
527,0.00060571027135267,NAVIGATOR,0.3744292237442922
528,0.0006084760716784812,LR2,0.35454545454545455
529,0.0006333682746107827,REGAL,0.3799126637554585
530,0.0006333682746107827,SKY,0.37117903930131
532,0.0006388998752624053,VELOSTER,0.3852813852813853
531,0.0006388998752624053,FUSION HYBRID,0.3852813852813853
533,0.0006444314759140279,550,0.3905579399141631
534,0.0006499630765656505,CR-Z,0.35319148936170214
535,0.0006527288768914617,C350,0.3305084745762712
536,0.0006637920781947069,G25,0.31666666666666665
